Price,Date,Close,High,Low,Open,Volume
Ticker,,^CNX100,^CNX100,^CNX100,^CNX100,^CNX100
245,2020-12-24,13862.099609375,13882.7998046875,13748.150390625,13803.150390625,0
246,2020-12-28,13986.7001953125,13997.0,13929.2001953125,13930.7998046875,0
247,2020-12-29,14037.650390625,14077.9501953125,13964.0,14028.0498046875,0
248,2020-12-30,14088.4501953125,14103.849609375,13969.7998046875,14086.4501953125,0
249,2020-12-31,14090.75,14127.599609375,14048.099609375,14080.7998046875,0
250,2021-01-04,14267.0498046875,14282.400390625,14084.0498046875,14226.0,0
251,2021-01-05,14355.900390625,14373.849609375,14177.2001953125,14212.9501953125,0
252,2021-01-06,14305.650390625,14403.0498046875,14191.400390625,14399.7001953125,0
253,2021-01-07,14305.5,14419.349609375,14290.650390625,14417.900390625,0
254,2021-01-08,14514.349609375,14533.0,14393.4501953125,14424.7998046875,0
255,2021-01-11,14642.0498046875,14653.2001953125,14535.400390625,14638.7998046875,0
256,2021-01-12,14705.5,14735.4501953125,14593.349609375,14632.7001953125,0
257,2021-01-13,14694.9501953125,14793.25,14559.2998046875,14782.599609375,0
258,2021-01-14,14731.150390625,14750.0,14608.099609375,14688.2001953125,0
259,2021-01-15,14558.7998046875,14760.25,14482.75,14736.5,0
260,2021-01-18,14390.0498046875,14579.5,14332.849609375,14574.150390625,10749500
261,2021-01-19,14632.2001953125,14653.849609375,14470.900390625,14481.150390625,8428000
262,2021-01-20,14751.2998046875,14771.0,14631.7998046875,14652.0,0
263,2021-01-21,14686.5498046875,14860.849609375,14613.349609375,14840.9501953125,0
264,2021-01-22,14479.599609375,14725.25,14466.2001953125,14684.349609375,0
265,2021-01-25,14348.4501953125,14602.900390625,14328.099609375,14588.2001953125,0
266,2021-01-27,14085.849609375,14349.5,14045.150390625,14349.5,0
267,2021-01-28,13947.25,14017.7998046875,13846.7001953125,13932.7001953125,0
268,2021-01-29,13743.2998046875,14089.400390625,13704.150390625,14075.650390625,0
269,2021-02-01,14361.650390625,14414.599609375,13762.2001953125,13866.0498046875,0
270,2021-02-02,14720.5498046875,14792.0,14546.2998046875,14556.0,13720200
271,2021-02-03,14854.0,14931.650390625,14650.75,14824.25,13741300
272,2021-02-04,14977.150390625,14992.5,14806.650390625,14860.0498046875,0
273,2021-02-05,14988.9501953125,15099.25,14938.7998046875,15040.75,0
274,2021-02-08,15177.9501953125,15217.0,15103.7001953125,15123.150390625,0
275,2021-02-09,15171.25,15313.4501953125,15124.7998046875,15228.150390625,0
276,2021-02-10,15176.400390625,15233.150390625,15047.650390625,15184.2998046875,0
277,2021-02-11,15249.650390625,15262.2998046875,15138.2001953125,15146.099609375,0
278,2021-02-12,15245.75,15318.849609375,15163.650390625,15267.349609375,0
279,2021-02-15,15399.2001953125,15421.900390625,15326.400390625,15350.25,0
280,2021-02-16,15406.0,15513.5,15328.599609375,15455.400390625,0
281,2021-02-17,15318.5,15413.900390625,15275.7001953125,15379.2998046875,0
282,2021-02-18,15249.5,15368.7998046875,15210.25,15353.650390625,0
283,2021-02-19,15102.650390625,15275.400390625,15017.349609375,15212.5498046875,0
284,2021-02-22,14802.4501953125,15132.5,14758.75,15119.5498046875,0
285,2021-02-23,14844.25,14979.2998046875,14780.150390625,14906.0,0
286,2021-02-24,15094.849609375,15118.650390625,14869.650390625,14876.75,6176600
287,2021-02-25,15209.0,15281.25,15177.599609375,15193.5498046875,11570000
288,2021-02-26,14667.599609375,15045.150390625,14604.25,15005.0,0
289,2021-03-01,14889.650390625,14932.2998046875,14774.650390625,14834.5,0
290,2021-03-02,15061.599609375,15100.9501953125,14897.900390625,14993.900390625,0
291,2021-03-03,15379.5,15405.7001953125,15147.5498046875,15205.0498046875,0
292,2021-03-04,15238.75,15352.9501953125,15139.5,15172.2998046875,0
293,2021-03-05,15084.349609375,15248.7001953125,15009.2001953125,15139.75,0
294,2021-03-08,15096.849609375,15250.599609375,15062.349609375,15151.849609375,0
295,2021-03-09,15206.0,15252.0,15043.099609375,15189.599609375,0
296,2021-03-10,15284.849609375,15327.0,15209.650390625,15309.099609375,0
297,2021-03-12,15140.150390625,15438.5,15071.150390625,15426.5498046875,0
298,2021-03-15,15040.849609375,15165.400390625,14856.2998046875,15163.25,0
299,2021-03-16,15033.2998046875,15159.099609375,15009.7998046875,15107.7998046875,0
300,2021-03-17,14828.849609375,15074.7998046875,14805.75,15066.4501953125,0
301,2021-03-18,14662.5,14977.4501953125,14581.9501953125,14959.0498046875,0
302,2021-03-19,14847.25,14886.9501953125,14434.099609375,14573.2998046875,0
303,2021-03-22,14859.7001953125,14885.650390625,14729.4501953125,14850.75,0
304,2021-03-23,14952.099609375,15011.0498046875,14849.150390625,14898.2998046875,0
305,2021-03-24,14690.0498046875,14902.650390625,14676.349609375,14853.2001953125,0
306,2021-03-25,14450.5498046875,14717.599609375,14393.5,14713.349609375,0
307,2021-03-26,14633.5,14692.75,14539.25,14624.900390625,0
308,2021-03-30,14936.0498046875,14977.9501953125,14745.9501953125,14755.599609375,9292100
309,2021-03-31,14807.4501953125,14913.7001953125,14787.599609375,14913.0,0
310,2021-04-01,14993.0498046875,15008.9501953125,14813.650390625,14912.25,0
311,2021-04-05,14775.7001953125,14975.650390625,14596.9501953125,14970.2001953125,0
312,2021-04-06,14836.25,14922.2998046875,14719.400390625,14870.75,0
313,2021-04-07,14973.9501953125,15019.75,14810.4501953125,14869.849609375,0
314,2021-04-08,15036.150390625,15139.9501953125,14984.349609375,15030.0498046875,0
315,2021-04-09,15004.150390625,15081.900390625,14957.599609375,15045.2001953125,0
316,2021-04-12,14450.0498046875,14812.0,14390.099609375,14805.9501953125,0
317,2021-04-13,14639.400390625,14660.2001953125,14415.900390625,14501.849609375,0
318,2021-04-15,14719.25,14735.900390625,14487.9501953125,14655.75,0
319,2021-04-16,14773.2001953125,14850.150390625,14705.599609375,14741.7998046875,0
320,2021-04-19,14512.849609375,14535.5498046875,14346.099609375,14459.0,0
321,2021-04-20,14466.7998046875,14688.150390625,14373.9501953125,14680.150390625,0
322,2021-04-22,14564.25,14581.75,14329.599609375,14395.900390625,8103800
323,2021-04-23,14510.9501953125,14625.099609375,14439.900390625,14492.2001953125,0
324,2021-04-26,14645.900390625,14711.150390625,14590.4501953125,14618.900390625,0
325,2021-04-27,14807.75,14822.9501953125,14652.849609375,14662.5,0
326,2021-04-28,15004.650390625,15030.4501953125,14855.5498046875,14871.4501953125,0
327,2021-04-29,15029.9501953125,15178.849609375,14954.0498046875,15117.400390625,0
328,2021-04-30,14790.599609375,15005.400390625,14760.2998046875,14891.25,0
329,2021-05-03,14811.2001953125,14845.099609375,14583.349609375,14645.599609375,7240700
330,2021-05-04,14683.7001953125,14904.599609375,14647.650390625,14871.900390625,11727600
331,2021-05-05,14823.2001953125,14843.2998046875,14698.9501953125,14793.0,0
332,2021-05-06,14928.599609375,14947.150390625,14817.650390625,14878.599609375,0
333,2021-05-07,15021.650390625,15060.150390625,14968.2998046875,15023.0,0
334,2021-05-10,15146.650390625,15167.4501953125,15091.400390625,15123.349609375,0
335,2021-05-11,15071.400390625,15115.9501953125,14978.0498046875,15003.2001953125,0
336,2021-05-12,14940.0,15062.150390625,14891.099609375,15060.9501953125,0
337,2021-05-14,14893.2001953125,14996.9501953125,14809.0,14996.900390625,0
338,2021-05-17,15134.150390625,15148.5,14936.7998046875,14973.2001953125,0
339,2021-05-18,15325.0,15348.2998046875,15258.7001953125,15281.7001953125,0
340,2021-05-19,15272.5498046875,15366.2001953125,15250.2001953125,15288.0,0
341,2021-05-20,15164.4501953125,15317.0498046875,15142.4501953125,15288.75,0
